Best,Epoch,Trades,Avg profit,Median profit,Total profit,Stake currency,Profit,Avg duration,Objective,rsi-value,rsi-enabled,trigger,sell-rsi-value,sell-rsi-enabled,sell-trigger,roi_t1,roi_t2,roi_t3,roi_p1,roi_p2,roi_p3,stoploss
,91,346,-0.02%,0.0,-0.00056843,BTC,-5.68,590.1 m,2.89093,22,False,bb_lower_1,92,True,sell-bb_lower_1,80,33,20,0.022,0.064,0.031,-0.328
,92,470,-0.15%,0.0,-0.00687631,BTC,-68.70,354.0 m,13.65453,15,False,bb_lower_1,64,True,sell-bb_lower_1,95,53,10,0.014,0.056,0.08,-0.26
,93,404,-0.08%,0.0,-0.00304273,BTC,-30.40,474.2 m,6.92250,21,False,bb_lower_1,75,True,sell-bb_lower_1,68,43,21,0.039,0.024,0.07,-0.309
,94,418,-0.14%,0.0,-0.00578280,BTC,-57.77,467.9 m,11.27183,23,False,bb_lower_1,85,True,sell-bb_lower_1,16,48,10,0.02,0.038,0.073,-0.348
,95,627,-0.09%,0.0,-0.00544833,BTC,-54.43,218.5 m,15.21228,14,False,bb_lower_1,55,True,sell-bb_lower_1,56,37,19,0.018,0.062,0.168,-0.262
,96,475,-0.12%,0.0,-0.00559842,BTC,-55.93,368.0 m,12.37894,17,False,bb_lower_1,68,True,sell-bb_lower_1,22,37,37,0.023,0.062,0.146,-0.346
,97,392,-0.07%,0.0,-0.00255997,BTC,-25.57,504.6 m,6.02948,27,False,bb_lower_1,98,True,sell-bb_lower_1,63,20,20,0.027,0.033,0.175,-0.309
,98,333,0.06%,0.0,0.00210116,BTC,20.99,617.2 m,-0.52185,21,False,bb_lower_1,90,True,sell-bb_lower_1,82,31,39,0.021,0.051,0.185,-0.329
,99,373,0.05%,0.999001,0.00169231,BTC,16.91,533.4 m,0.23211,35,False,bb_lower_1,96,True,sell-bb_lower_1,114,18,38,0.01,0.038,0.153,-0.3
,100,404,-0.01%,0.0,-0.00035203,BTC,-3.52,490.0 m,3.28396,37,False,bb_lower_1,94,True,sell-bb_lower_1,67,19,17,0.012,0.032,0.199,-0.318
,101,407,-0.08%,0.566995,-0.00345468,BTC,-34.51,484.8 m,7.57431,24,False,bb_lower_1,95,True,sell-bb_upper_1,102,11,16,0.01,0.048,0.157,-0.328
,102,339,-0.01%,0.0,-0.00032231,BTC,-3.22,603.7 m,2.64694,49,False,bb_lower_1,95,True,sell-bb_middle_1,89,16,35,0.015,0.066,0.032,-0.335
,103,383,-0.01%,0.0,-0.00053764,BTC,-5.37,525.1 m,3.39608,42,False,bb_lower_1,96,True,sell-bb_lower_1,88,11,16,0.018,0.032,0.033,-0.318
,104,355,-0.02%,0.018183,-0.00081732,BTC,-8.17,573.4 m,3.85176,15,False,bb_lower_1,94,True,sell-bb_middle_1,110,16,11,0.013,0.025,0.165,-0.337
,105,351,-0.01%,0.0,-0.00032623,BTC,-3.26,583.2 m,2.67221,23,False,bb_lower_1,96,True,sell-bb_upper_1,57,13,37,0.032,0.038,0.129,-0.34
,106,387,-0.08%,0.0,-0.00307590,BTC,-30.73,518.2 m,7.15668,43,False,bb_lower_1,97,True,sell-bb_lower_1,39,14,25,0.016,0.05,0.055,-0.334
,107,370,0.03%,0.0,0.00125960,BTC,12.58,534.4 m,0.73171,22,False,bb_lower_1,100,True,sell-bb_middle_1,92,18,28,0.022,0.046,0.138,-0.289
